"","iter","fpa","fna"
"1",0,1,15
"2",1,1,14
"3",6,0,14
"4",7,0,13
"5",8,0,12
"6",10,0,11
"7",11,0,10
"8",12,0,9
"9",13,0,8
"10",14,0,7
"11",15,0,6
"12",16,0,5
"13",17,0,4
"14",18,0,3
"15",19,0,2
"16",20,0,1
"17",21,0,0
"18",22,1,0
"19",24,2,0
"20",49,1,0
"21",51,2,0
"22",56,1,0
"23",58,2,0
"24",61,1,0
"25",62,2,0
"26",63,1,0
"27",64,2,0
"28",70,3,0
"29",71,2,0
"30",106,1,0
"31",107,2,0
"32",117,3,0
"33",118,2,0
"34",141,1,0
"35",142,2,0
"36",167,1,0
"37",168,2,0
"38",169,3,0
"39",170,2,0
"40",175,1,0
"41",176,2,0
"42",177,1,0
"43",178,2,0
"44",182,1,0
"45",183,2,0
"46",193,3,0
"47",195,2,0
